cuisine,cuisine_id
"Mexico, Taco, Tex-Mex","73,997,150"
Canada,381
India,148
"China, Sichuan","25,128"
Vietnam,99
Philippines,112
Germany,134
Korea,67
El Salvador,601
Iran,140
Taiwan,190
"Japan, Sushi, Teriyaki, Ramen","60,177,964,320"
Peru,162
"Hong Kong, Dim Sum","121, 411"
Armenia,175
Thailand,95
Russia,84
Nicaragua,962
United Kingdom,133
England,298
Ukraine,451
Cambodia,111
Laos,901
Pakistan,139
Colombia,287
Brazil,159
Indonesia,114
"France, Fondue, Crepes","45,318,881"
Afghanistan,1035
Cuba,153
Argentina,151
Israel,218
"Italy, Pizza","55,82"
Lebanon,66
Portugal,87
Burma,22
Ethiopia,149
Ecuador,316
Poland,219
Australia,131
South Africa,267
Turkey,142
Ireland,135
Malaysia,69
Chile,229
"Spain, Tapas","89, 179"
Jamaica,207
Sweden,211
Greece,156
Sri Lanka,86
Hungary,228
Singapore,119
Venezuela,641
Scotland,210
Austria,201
Denmark,203
Morocco,147
Belgium,132
Dominican Republic,958
Uruguay,264
"Oceania, n.e.c.","131, 961, 321"
Guatemala,"972,136"
Haiti,158
Bosnia and Herzegovina,651
Nepal,117